Track,for,Earl,2016,,,,
Date,Time,(UTC),Latitude,Longitude,,,
MM/DD/Year,HH:MM:SS,(deg),(deg),,,,
8/2/2016,9:18:00,16.184,N,78.476,W,-8.65,-0.83
8/2/2016,9:19:59,16.183,N,78.486,W,-8.65,-0.83
8/2/2016,9:22:00,16.182,N,78.495,W,-8.65,-0.82
8/2/2016,9:23:59,16.181,N,78.505,W,-8.64,-0.81
8/2/2016,9:26:00,16.181,N,78.515,W,-8.64,-0.8
8/2/2016,9:27:59,16.18,N,78.525,W,-8.63,-0.8
8/2/2016,9:30:00,16.179,N,78.534,W,-8.63,-0.79
8/2/2016,9:32:00,16.178,N,78.544,W,-8.63,-0.78
8/2/2016,9:33:59,16.177,N,78.554,W,-8.62,-0.77
8/2/2016,9:36:00,16.176,N,78.563,W,-8.62,-0.76
8/2/2016,9:37:59,16.176,N,78.573,W,-8.62,-0.75
8/2/2016,9:40:00,16.175,N,78.583,W,-8.61,-0.75
8/2/2016,9:41:59,16.174,N,78.592,W,-8.61,-0.74
8/2/2016,9:44:00,16.173,N,78.602,W,-8.6,-0.73
8/2/2016,9:45:59,16.172,N,78.612,W,-8.6,-0.72
8/2/2016,9:48:00,16.172,N,78.621,W,-8.6,-0.71
8/2/2016,9:49:59,16.171,N,78.631,W,-8.59,-0.7
8/2/2016,9:52:00,16.17,N,78.641,W,-8.59,-0.69
8/2/2016,9:53:59,16.169,N,78.65,W,-8.58,-0.69
8/2/2016,9:56:00,16.169,N,78.66,W,-8.58,-0.68
8/2/2016,9:57:59,16.168,N,78.67,W,-8.57,-0.67
8/2/2016,10:00:00,16.167,N,78.679,W,-8.57,-0.66
8/2/2016,10:02:00,16.166,N,78.689,W,-8.56,-0.65
8/2/2016,10:03:59,16.166,N,78.699,W,-8.56,-0.64
8/2/2016,10:06:00,16.165,N,78.708,W,-8.56,-0.63
8/2/2016,10:07:59,16.164,N,78.718,W,-8.55,-0.62
8/2/2016,10:10:00,16.164,N,78.727,W,-8.55,-0.61
8/2/2016,10:11:59,16.163,N,78.737,W,-8.54,-0.6
8/2/2016,10:14:00,16.162,N,78.747,W,-8.54,-0.59
8/2/2016,10:15:59,16.162,N,78.756,W,-8.53,-0.58
8/2/2016,10:18:00,16.161,N,78.766,W,-8.53,-0.57
8/2/2016,10:19:59,16.161,N,78.775,W,-8.52,-0.56
8/2/2016,10:22:00,16.16,N,78.785,W,-8.52,-0.55
8/2/2016,10:23:59,16.159,N,78.794,W,-8.51,-0.54
8/2/2016,10:26:00,16.159,N,78.804,W,-8.51,-0.53
8/2/2016,10:27:59,16.158,N,78.814,W,-8.5,-0.52
8/2/2016,10:30:00,16.158,N,78.823,W,-8.5,-0.51
8/2/2016,10:32:00,16.157,N,78.833,W,-8.49,-0.5
8/2/2016,10:33:59,16.157,N,78.842,W,-8.49,-0.49
8/2/2016,10:36:00,16.156,N,78.852,W,-8.48,-0.48
8/2/2016,10:37:59,16.156,N,78.861,W,-8.48,-0.47
8/2/2016,10:40:00,16.155,N,78.871,W,-8.47,-0.46
8/2/2016,10:41:59,16.155,N,78.88,W,-8.47,-0.45
8/2/2016,10:44:00,16.154,N,78.89,W,-8.46,-0.44
8/2/2016,10:45:59,16.154,N,78.899,W,-8.46,-0.43
8/2/2016,10:48:00,16.153,N,78.909,W,-8.45,-0.41
8/2/2016,10:49:59,16.153,N,78.918,W,-8.45,-0.4
8/2/2016,10:52:00,16.152,N,78.928,W,-8.44,-0.39
8/2/2016,10:53:59,16.152,N,78.937,W,-8.44,-0.38
8/2/2016,10:56:00,16.151,N,78.947,W,-8.43,-0.37
8/2/2016,10:57:59,16.151,N,78.956,W,-8.43,-0.36
8/2/2016,11:00:00,16.151,N,78.966,W,-8.42,-0.35
8/2/2016,11:02:00,16.15,N,78.975,W,-8.42,-0.34
8/2/2016,11:03:59,16.15,N,78.985,W,-8.41,-0.32
8/2/2016,11:06:00,16.15,N,78.994,W,-8.4,-0.31
8/2/2016,11:07:59,16.149,N,79.003,W,-8.4,-0.3
8/2/2016,11:10:00,16.149,N,79.013,W,-8.39,-0.29
8/2/2016,11:11:59,16.149,N,79.022,W,-8.39,-0.28
8/2/2016,11:14:00,16.148,N,79.032,W,-8.38,-0.26
8/2/2016,11:15:59,16.148,N,79.041,W,-8.38,-0.25
8/2/2016,11:18:00,16.148,N,79.051,W,-8.37,-0.24
8/2/2016,11:19:59,16.148,N,79.06,W,-8.36,-0.23
8/2/2016,11:22:00,16.147,N,79.069,W,-8.36,-0.22
8/2/2016,11:23:59,16.147,N,79.079,W,-8.35,-0.2
8/2/2016,11:26:00,16.147,N,79.088,W,-8.35,-0.19
8/2/2016,11:27:59,16.147,N,79.097,W,-8.34,-0.18
8/2/2016,11:30:00,16.147,N,79.107,W,-8.33,-0.17
8/2/2016,11:32:00,16.146,N,79.116,W,-8.33,-0.15
8/2/2016,11:33:59,16.146,N,79.126,W,-8.32,-0.14
8/2/2016,11:36:00,16.146,N,79.135,W,-8.32,-0.13
8/2/2016,11:37:59,16.146,N,79.144,W,-8.31,-0.11
8/2/2016,11:40:00,16.146,N,79.154,W,-8.3,-0.1
8/2/2016,11:41:59,16.146,N,79.163,W,-8.3,-0.09
8/2/2016,11:44:00,16.146,N,79.172,W,-8.29,-0.08
8/2/2016,11:45:59,16.146,N,79.182,W,-8.28,-0.06
8/2/2016,11:48:00,16.145,N,79.191,W,-8.28,-0.05
8/2/2016,11:49:59,16.145,N,79.2,W,-8.27,-0.04
8/2/2016,11:52:00,16.145,N,79.209,W,-8.27,-0.02
8/2/2016,11:53:59,16.145,N,79.219,W,-8.26,-0.01
8/2/2016,11:56:00,16.145,N,79.228,W,-8.25,0
8/2/2016,11:57:59,16.145,N,79.237,W,-8.25,0.01
8/2/2016,12:00:00,16.145,N,79.247,W,-8.24,0.03
8/2/2016,12:02:00,16.145,N,79.256,W,-8.24,0.04
8/2/2016,12:03:59,16.145,N,79.265,W,-8.23,0.05
8/2/2016,12:06:00,16.146,N,79.274,W,-8.22,0.06
8/2/2016,12:07:59,16.146,N,79.284,W,-8.22,0.07
8/2/2016,12:10:00,16.146,N,79.293,W,-8.21,0.09
8/2/2016,12:11:59,16.146,N,79.302,W,-8.21,0.1
8/2/2016,12:14:00,16.146,N,79.311,W,-8.2,0.11
8/2/2016,12:15:59,16.146,N,79.32,W,-8.2,0.12
8/2/2016,12:18:00,16.146,N,79.33,W,-8.19,0.13
8/2/2016,12:19:59,16.146,N,79.339,W,-8.18,0.14
8/2/2016,12:22:00,16.146,N,79.348,W,-8.18,0.16
8/2/2016,12:23:59,16.147,N,79.357,W,-8.17,0.17
8/2/2016,12:26:00,16.147,N,79.366,W,-8.17,0.18
8/2/2016,12:27:59,16.147,N,79.376,W,-8.16,0.19
8/2/2016,12:30:00,16.147,N,79.385,W,-8.16,0.2
8/2/2016,12:32:00,16.147,N,79.394,W,-8.15,0.21
8/2/2016,12:33:59,16.148,N,79.403,W,-8.15,0.22
8/2/2016,12:36:00,16.148,N,79.412,W,-8.14,0.23
8/2/2016,12:37:59,16.148,N,79.421,W,-8.14,0.25
8/2/2016,12:40:00,16.148,N,79.43,W,-8.13,0.26
8/2/2016,12:41:59,16.149,N,79.44,W,-8.13,0.27
8/2/2016,12:44:00,16.149,N,79.449,W,-8.12,0.28
8/2/2016,12:45:59,16.149,N,79.458,W,-8.12,0.29
8/2/2016,12:48:00,16.15,N,79.467,W,-8.11,0.3
8/2/2016,12:49:59,16.15,N,79.476,W,-8.11,0.31
8/2/2016,12:52:00,16.15,N,79.485,W,-8.1,0.32
8/2/2016,12:53:59,16.151,N,79.494,W,-8.1,0.33
8/2/2016,12:56:00,16.151,N,79.503,W,-8.09,0.34
