Track,for,Nicole,2010,,,
9/28/2010,1:46:00,19.508,N,83.915,W,0
9/28/2010,1:47:59,19.51,N,83.912,W,0
9/28/2010,1:50:00,19.512,N,83.909,W,0
9/28/2010,1:52:00,19.514,N,83.905,W,0
9/28/2010,1:54:00,19.516,N,83.902,W,0
9/28/2010,1:55:59,19.518,N,83.898,W,0
9/28/2010,1:58:00,19.52,N,83.895,W,0
9/28/2010,2:00:00,19.522,N,83.891,W,0
9/28/2010,2:01:59,19.524,N,83.888,W,0
9/28/2010,2:03:59,19.526,N,83.884,W,0
9/28/2010,2:05:59,19.529,N,83.881,W,0
9/28/2010,2:08:00,19.531,N,83.878,W,0
9/28/2010,2:10:00,19.533,N,83.874,W,0
9/28/2010,2:12:00,19.535,N,83.871,W,0
9/28/2010,2:14:00,19.537,N,83.867,W,0
9/28/2010,2:15:59,19.539,N,83.864,W,0
9/28/2010,2:17:59,19.541,N,83.86,W,0
9/28/2010,2:19:59,19.543,N,83.857,W,0
9/28/2010,2:21:59,19.545,N,83.854,W,0
9/28/2010,2:24:00,19.547,N,83.85,W,0
9/28/2010,2:26:00,19.55,N,83.847,W,0
9/28/2010,2:28:00,19.552,N,83.843,W,0
9/28/2010,2:30:00,19.554,N,83.84,W,0
9/28/2010,2:31:59,19.556,N,83.836,W,0
9/28/2010,2:33:59,19.558,N,83.833,W,0
9/28/2010,2:35:59,19.56,N,83.83,W,0
9/28/2010,2:38:00,19.562,N,83.826,W,0
9/28/2010,2:40:00,19.564,N,83.823,W,0
9/28/2010,2:42:00,19.567,N,83.819,W,0
9/28/2010,2:44:00,19.569,N,83.816,W,0
9/28/2010,2:46:00,19.571,N,83.813,W,0
9/28/2010,2:47:59,19.573,N,83.809,W,0
9/28/2010,2:49:59,19.575,N,83.806,W,0
9/28/2010,2:51:59,19.577,N,83.803,W,0
9/28/2010,2:54:00,19.579,N,83.799,W,0
9/28/2010,2:56:00,19.582,N,83.796,W,0
9/28/2010,2:58:00,19.584,N,83.792,W,0
9/28/2010,3:00:00,19.586,N,83.789,W,0
9/28/2010,3:01:59,19.588,N,83.786,W,0
9/28/2010,3:03:59,19.59,N,83.782,W,0
9/28/2010,3:05:59,19.593,N,83.779,W,0
9/28/2010,3:08:00,19.595,N,83.776,W,0
9/28/2010,3:10:00,19.597,N,83.772,W,0
9/28/2010,3:12:00,19.599,N,83.769,W,0
9/28/2010,3:14:00,19.601,N,83.765,W,0
9/28/2010,3:15:59,19.603,N,83.762,W,0
9/28/2010,3:17:59,19.606,N,83.759,W,0
9/28/2010,3:19:59,19.608,N,83.755,W,0
9/28/2010,3:21:59,19.61,N,83.752,W,0
9/28/2010,3:24:00,19.612,N,83.749,W,0
9/28/2010,3:26:00,19.615,N,83.745,W,0
9/28/2010,3:28:00,19.617,N,83.742,W,0
9/28/2010,3:30:00,19.619,N,83.739,W,0
9/28/2010,3:31:59,19.621,N,83.735,W,0
9/28/2010,3:33:59,19.623,N,83.732,W,0
9/28/2010,3:35:59,19.626,N,83.729,W,0
9/28/2010,3:38:00,19.628,N,83.725,W,0
9/28/2010,3:40:00,19.63,N,83.722,W,0
9/28/2010,3:42:00,19.632,N,83.719,W,0
9/28/2010,3:44:00,19.635,N,83.715,W,0
9/28/2010,3:46:00,19.637,N,83.712,W,0
9/28/2010,3:47:59,19.639,N,83.709,W,0
9/28/2010,3:49:59,19.641,N,83.706,W,0
9/28/2010,3:51:59,19.644,N,83.702,W,0
9/28/2010,3:54:00,19.646,N,83.699,W,0
9/28/2010,3:56:00,19.648,N,83.696,W,0
9/28/2010,3:58:00,19.651,N,83.692,W,0
9/28/2010,4:00:00,19.653,N,83.689,W,0
9/28/2010,4:01:59,19.655,N,83.686,W,0
9/28/2010,4:03:59,19.657,N,83.683,W,0
9/28/2010,4:05:59,19.66,N,83.679,W,0
9/28/2010,4:07:59,19.662,N,83.676,W,0
9/28/2010,4:09:59,19.664,N,83.673,W,0
9/28/2010,4:11:59,19.667,N,83.67,W,0
9/28/2010,4:13:59,19.669,N,83.666,W,0
9/28/2010,4:16:00,19.671,N,83.663,W,0
9/28/2010,4:18:00,19.674,N,83.66,W,0
9/28/2010,4:20:00,19.676,N,83.657,W,0
9/28/2010,4:22:00,19.678,N,83.653,W,0
9/28/2010,4:24:00,19.681,N,83.65,W,0
9/28/2010,4:26:00,19.683,N,83.647,W,0
9/28/2010,4:28:00,19.685,N,83.644,W,0
9/28/2010,4:30:00,19.688,N,83.64,W,0
9/28/2010,4:31:59,19.69,N,83.637,W,0
9/28/2010,4:33:59,19.692,N,83.634,W,0
9/28/2010,4:35:59,19.695,N,83.631,W,0
9/28/2010,4:37:59,19.697,N,83.628,W,0
9/28/2010,4:39:59,19.7,N,83.624,W,0
9/28/2010,4:41:59,19.702,N,83.621,W,0
9/28/2010,4:43:59,19.704,N,83.618,W,0
9/28/2010,4:46:00,19.707,N,83.615,W,0
9/28/2010,4:48:00,19.709,N,83.612,W,0
9/28/2010,4:50:00,19.712,N,83.608,W,0
9/28/2010,4:52:00,19.714,N,83.605,W,0
9/28/2010,4:54:00,19.717,N,83.602,W,0
9/28/2010,4:56:00,19.719,N,83.599,W,0
9/28/2010,4:58:00,19.721,N,83.596,W,0
9/28/2010,5:00:00,19.724,N,83.593,W,0
9/28/2010,5:01:59,19.726,N,83.589,W,0
9/28/2010,5:03:59,19.729,N,83.586,W,0
9/28/2010,5:05:59,19.731,N,83.583,W,0
9/28/2010,5:07:59,19.734,N,83.58,W,0
9/28/2010,5:09:59,19.736,N,83.577,W,0
9/28/2010,5:11:59,19.739,N,83.574,W,0
9/28/2010,5:13:59,19.741,N,83.571,W,0
9/28/2010,5:16:00,19.744,N,83.567,W,0
9/28/2010,5:18:00,19.746,N,83.564,W,0
9/28/2010,5:20:00,19.749,N,83.561,W,0
9/28/2010,5:22:00,19.751,N,83.558,W,0
9/28/2010,5:24:00,19.754,N,83.555,W,0
9/28/2010,5:26:00,19.756,N,83.552,W,0
9/28/2010,5:28:00,19.759,N,83.549,W,0
9/28/2010,5:30:00,19.761,N,83.546,W,0
9/28/2010,5:31:59,19.764,N,83.543,W,0
9/28/2010,5:33:59,19.766,N,83.54,W,0
9/28/2010,5:35:59,19.769,N,83.536,W,0
9/28/2010,5:37:59,19.771,N,83.533,W,0
9/28/2010,5:39:59,19.774,N,83.53,W,0
9/28/2010,5:41:59,19.777,N,83.527,W,0
9/28/2010,5:43:59,19.779,N,83.524,W,0
9/28/2010,5:46:00,19.782,N,83.521,W,0
9/28/2010,5:48:00,19.784,N,83.518,W,0
9/28/2010,5:50:00,19.787,N,83.515,W,0
9/28/2010,5:52:00,19.79,N,83.512,W,0
9/28/2010,5:54:00,19.792,N,83.509,W,0
9/28/2010,5:56:00,19.795,N,83.506,W,0
9/28/2010,5:58:00,19.797,N,83.503,W,0
9/28/2010,6:00:00,19.8,N,83.5,W,0
9/28/2010,6:01:59,19.803,N,83.497,W,0
9/28/2010,6:03:59,19.805,N,83.494,W,0
9/28/2010,6:05:59,19.808,N,83.491,W,0
9/28/2010,6:07:59,19.811,N,83.488,W,0
9/28/2010,6:09:59,19.813,N,83.485,W,0
9/28/2010,6:11:59,19.816,N,83.482,W,0
9/28/2010,6:13:59,19.819,N,83.479,W,0
9/28/2010,6:16:00,19.821,N,83.476,W,0
9/28/2010,6:18:00,19.824,N,83.473,W,0
9/28/2010,6:20:00,19.827,N,83.47,W,0
9/28/2010,6:22:00,19.829,N,83.467,W,0
9/28/2010,6:24:00,19.832,N,83.464,W,0
9/28/2010,6:26:00,19.835,N,83.461,W,0
9/28/2010,6:28:00,19.838,N,83.458,W,0
9/28/2010,6:30:00,19.84,N,83.456,W,0
9/28/2010,6:31:59,19.843,N,83.453,W,0
9/28/2010,6:33:59,19.846,N,83.45,W,0
9/28/2010,6:35:59,19.849,N,83.447,W,0
9/28/2010,6:37:59,19.851,N,83.444,W,0
9/28/2010,6:39:59,19.854,N,83.441,W,0
9/28/2010,6:41:59,19.857,N,83.438,W,0
9/28/2010,6:43:59,19.86,N,83.435,W,0
9/28/2010,6:46:00,19.863,N,83.432,W,0
9/28/2010,6:48:00,19.865,N,83.429,W,0
9/28/2010,6:50:00,19.868,N,83.427,W,0
9/28/2010,6:52:00,19.871,N,83.424,W,0
9/28/2010,6:54:00,19.874,N,83.421,W,0
9/28/2010,6:56:00,19.877,N,83.418,W,0
9/28/2010,6:58:00,19.88,N,83.415,W,0
9/28/2010,7:00:00,19.882,N,83.412,W,0
9/28/2010,7:01:59,19.885,N,83.41,W,0
9/28/2010,7:03:59,19.888,N,83.407,W,0
9/28/2010,7:05:59,19.891,N,83.404,W,0
9/28/2010,7:07:59,19.894,N,83.401,W,0
9/28/2010,7:09:59,19.897,N,83.398,W,0
9/28/2010,7:11:59,19.9,N,83.395,W,0
9/28/2010,7:13:59,19.903,N,83.393,W,0
9/28/2010,7:16:00,19.906,N,83.39,W,0
9/28/2010,7:18:00,19.909,N,83.387,W,0
9/28/2010,7:20:00,19.911,N,83.384,W,0
9/28/2010,7:22:00,19.914,N,83.382,W,0
9/28/2010,7:24:00,19.917,N,83.379,W,0
9/28/2010,7:26:00,19.92,N,83.376,W,0
9/28/2010,7:28:00,19.923,N,83.373,W,0
9/28/2010,7:30:00,19.926,N,83.371,W,0
9/28/2010,7:31:59,19.929,N,83.368,W,0
9/28/2010,7:33:59,19.932,N,83.365,W,0
9/28/2010,7:35:59,19.935,N,83.362,W,0
9/28/2010,7:37:59,19.938,N,83.36,W,0
9/28/2010,7:39:59,19.941,N,83.357,W,0
9/28/2010,7:41:59,19.944,N,83.354,W,0
9/28/2010,7:43:59,19.947,N,83.352,W,0
9/28/2010,7:46:00,19.95,N,83.349,W,0
9/28/2010,7:48:00,19.954,N,83.346,W,0
9/28/2010,7:50:00,19.957,N,83.344,W,0
9/28/2010,7:52:00,19.96,N,83.341,W,0
9/28/2010,7:54:00,19.963,N,83.338,W,0
9/28/2010,7:56:00,19.966,N,83.336,W,0
9/28/2010,7:58:00,19.969,N,83.333,W,0
9/28/2010,8:00:00,19.972,N,83.33,W,0
9/28/2010,8:02:00,19.975,N,83.328,W,0
9/28/2010,8:03:59,19.978,N,83.325,W,0
9/28/2010,8:06:00,19.982,N,83.323,W,0
9/28/2010,8:07:59,19.985,N,83.32,W,0
9/28/2010,8:10:00,19.988,N,83.317,W,0
9/28/2010,8:11:59,19.991,N,83.315,W,0
9/28/2010,8:14:00,19.994,N,83.312,W,0
9/28/2010,8:15:59,19.997,N,83.31,W,0
9/28/2010,8:18:00,20.001,N,83.307,W,0
9/28/2010,8:19:59,20.004,N,83.304,W,0
9/28/2010,8:22:00,20.007,N,83.302,W,0
9/28/2010,8:23:59,20.01,N,83.299,W,0
9/28/2010,8:26:00,20.013,N,83.297,W,0
9/28/2010,8:27:59,20.017,N,83.294,W,0
9/28/2010,8:30:00,20.02,N,83.292,W,0
9/28/2010,8:32:00,20.023,N,83.289,W,0
9/28/2010,8:33:59,20.027,N,83.287,W,0
9/28/2010,8:36:00,20.03,N,83.284,W,0
9/28/2010,8:37:59,20.033,N,83.282,W,0
9/28/2010,8:40:00,20.036,N,83.279,W,0
9/28/2010,8:41:59,20.04,N,83.277,W,0
9/28/2010,8:44:00,20.043,N,83.274,W,0
9/28/2010,8:45:59,20.046,N,83.272,W,0
9/28/2010,8:48:00,20.05,N,83.27,W,0
9/28/2010,8:49:59,20.053,N,83.267,W,0
9/28/2010,8:52:00,20.057,N,83.265,W,0
9/28/2010,8:53:59,20.06,N,83.262,W,0
9/28/2010,8:56:00,20.063,N,83.26,W,0
9/28/2010,8:57:59,20.067,N,83.257,W,0
9/28/2010,9:00:00,20.07,N,83.255,W,0
9/28/2010,9:02:00,20.074,N,83.253,W,0
9/28/2010,9:03:59,20.077,N,83.25,W,0
9/28/2010,9:06:00,20.08,N,83.248,W,0
9/28/2010,9:07:59,20.084,N,83.245,W,0
9/28/2010,9:10:00,20.087,N,83.243,W,0
9/28/2010,9:11:59,20.091,N,83.241,W,0
9/28/2010,9:14:00,20.094,N,83.238,W,0
9/28/2010,9:15:59,20.098,N,83.236,W,0
9/28/2010,9:18:00,20.101,N,83.234,W,0
9/28/2010,9:19:59,20.105,N,83.231,W,0
9/28/2010,9:22:00,20.108,N,83.229,W,0
9/28/2010,9:23:59,20.112,N,83.227,W,0
9/28/2010,9:26:00,20.115,N,83.224,W,0
9/28/2010,9:27:59,20.119,N,83.222,W,0
9/28/2010,9:30:00,20.123,N,83.22,W,0
9/28/2010,9:32:00,20.126,N,83.218,W,0
9/28/2010,9:33:59,20.13,N,83.215,W,0
9/28/2010,9:36:00,20.133,N,83.213,W,0
9/28/2010,9:37:59,20.137,N,83.211,W,0
9/28/2010,9:40:00,20.141,N,83.209,W,0
9/28/2010,9:41:59,20.144,N,83.206,W,0
9/28/2010,9:44:00,20.148,N,83.204,W,0
9/28/2010,9:45:59,20.151,N,83.202,W,0
9/28/2010,9:48:00,20.155,N,83.2,W,0
9/28/2010,9:49:59,20.159,N,83.198,W,0
9/28/2010,9:52:00,20.163,N,83.195,W,0
9/28/2010,9:53:59,20.166,N,83.193,W,0
9/28/2010,9:56:00,20.17,N,83.191,W,0
9/28/2010,9:57:59,20.174,N,83.189,W,0
9/28/2010,10:00:00,20.177,N,83.187,W,0
9/28/2010,10:02:00,20.181,N,83.185,W,0
9/28/2010,10:03:59,20.185,N,83.183,W,0
9/28/2010,10:06:00,20.189,N,83.18,W,0
9/28/2010,10:07:59,20.192,N,83.178,W,0
9/28/2010,10:10:00,20.196,N,83.176,W,0
9/28/2010,10:11:59,20.2,N,83.174,W,0
9/28/2010,10:14:00,20.204,N,83.172,W,0
9/28/2010,10:15:59,20.208,N,83.17,W,0
9/28/2010,10:18:00,20.211,N,83.168,W,0
9/28/2010,10:19:59,20.215,N,83.166,W,0
9/28/2010,10:22:00,20.219,N,83.164,W,0
9/28/2010,10:23:59,20.223,N,83.162,W,0
9/28/2010,10:26:00,20.227,N,83.16,W,0
9/28/2010,10:27:59,20.231,N,83.158,W,0
9/28/2010,10:30:00,20.234,N,83.155,W,0
9/28/2010,10:32:00,20.238,N,83.153,W,0
9/28/2010,10:33:59,20.242,N,83.151,W,0
9/28/2010,10:36:00,20.246,N,83.149,W,0
9/28/2010,10:37:59,20.25,N,83.147,W,0
9/28/2010,10:40:00,20.254,N,83.145,W,0
9/28/2010,10:41:59,20.258,N,83.143,W,0
9/28/2010,10:44:00,20.262,N,83.141,W,0
9/28/2010,10:45:59,20.266,N,83.139,W,0
9/28/2010,10:48:00,20.27,N,83.137,W,0
9/28/2010,10:49:59,20.274,N,83.136,W,0
9/28/2010,10:52:00,20.278,N,83.134,W,0
9/28/2010,10:53:59,20.282,N,83.132,W,0
9/28/2010,10:56:00,20.286,N,83.13,W,0
9/28/2010,10:57:59,20.29,N,83.128,W,0
9/28/2010,11:00:00,20.294,N,83.126,W,0
9/28/2010,11:02:00,20.298,N,83.124,W,0
9/28/2010,11:03:59,20.302,N,83.122,W,0
9/28/2010,11:06:00,20.306,N,83.12,W,0
9/28/2010,11:07:59,20.31,N,83.118,W,0
9/28/2010,11:10:00,20.314,N,83.116,W,0
9/28/2010,11:11:59,20.318,N,83.114,W,0
9/28/2010,11:14:00,20.322,N,83.113,W,0
9/28/2010,11:15:59,20.326,N,83.111,W,0
9/28/2010,11:18:00,20.33,N,83.109,W,0
9/28/2010,11:19:59,20.335,N,83.107,W,0
9/28/2010,11:22:00,20.339,N,83.105,W,0
9/28/2010,11:23:59,20.343,N,83.103,W,0
9/28/2010,11:26:00,20.347,N,83.101,W,0
9/28/2010,11:27:59,20.351,N,83.1,W,0
9/28/2010,11:30:00,20.355,N,83.098,W,0
9/28/2010,11:32:00,20.359,N,83.096,W,0
9/28/2010,11:33:59,20.364,N,83.094,W,0
9/28/2010,11:36:00,20.368,N,83.092,W,0
9/28/2010,11:37:59,20.372,N,83.091,W,0
9/28/2010,11:40:00,20.376,N,83.089,W,0
9/28/2010,11:41:59,20.38,N,83.087,W,0
9/28/2010,11:44:00,20.384,N,83.085,W,0
9/28/2010,11:45:59,20.389,N,83.084,W,0
9/28/2010,11:48:00,20.393,N,83.082,W,0
9/28/2010,11:49:59,20.397,N,83.08,W,0
9/28/2010,11:52:00,20.401,N,83.078,W,0
9/28/2010,11:53:59,20.406,N,83.076,W,0
9/28/2010,11:56:00,20.41,N,83.075,W,0
9/28/2010,11:57:59,20.414,N,83.073,W,0
9/28/2010,12:00:00,20.418,N,83.071,W,0
9/28/2010,12:02:00,20.423,N,83.07,W,0
9/28/2010,12:03:59,20.427,N,83.068,W,0
9/28/2010,12:06:00,20.431,N,83.066,W,0
9/28/2010,12:07:59,20.436,N,83.064,W,0
9/28/2010,12:10:00,20.44,N,83.063,W,0
9/28/2010,12:11:59,20.444,N,83.061,W,0
9/28/2010,12:14:00,20.449,N,83.059,W,0
9/28/2010,12:15:59,20.453,N,83.058,W,0
9/28/2010,12:18:00,20.457,N,83.056,W,0
9/28/2010,12:19:59,20.462,N,83.054,W,0
9/28/2010,12:22:00,20.466,N,83.053,W,0
9/28/2010,12:23:59,20.47,N,83.051,W,0
9/28/2010,12:26:00,20.475,N,83.049,W,0
9/28/2010,12:27:59,20.479,N,83.048,W,0
9/28/2010,12:30:00,20.484,N,83.046,W,0
9/28/2010,12:32:00,20.488,N,83.045,W,0
9/28/2010,12:33:59,20.492,N,83.043,W,0
9/28/2010,12:36:00,20.497,N,83.041,W,0
9/28/2010,12:37:59,20.501,N,83.04,W,0
9/28/2010,12:40:00,20.506,N,83.038,W,0
9/28/2010,12:41:59,20.51,N,83.037,W,0
9/28/2010,12:44:00,20.514,N,83.035,W,0
9/28/2010,12:45:59,20.519,N,83.033,W,0
9/28/2010,12:48:00,20.523,N,83.032,W,0
9/28/2010,12:49:59,20.528,N,83.03,W,0
9/28/2010,12:52:00,20.532,N,83.029,W,0
9/28/2010,12:53:59,20.537,N,83.027,W,0
9/28/2010,12:56:00,20.541,N,83.025,W,0
9/28/2010,12:57:59,20.546,N,83.024,W,0
9/28/2010,13:00:00,20.55,N,83.022,W,0
9/28/2010,13:02:00,20.555,N,83.021,W,0
9/28/2010,13:03:59,20.559,N,83.019,W,0
9/28/2010,13:06:00,20.564,N,83.018,W,0
9/28/2010,13:07:59,20.568,N,83.016,W,0
9/28/2010,13:10:00,20.573,N,83.015,W,0
9/28/2010,13:11:59,20.577,N,83.013,W,0
9/28/2010,13:14:00,20.582,N,83.012,W,0
9/28/2010,13:15:59,20.586,N,83.01,W,0
9/28/2010,13:18:00,20.591,N,83.009,W,0
9/28/2010,13:19:59,20.596,N,83.007,W,0
9/28/2010,13:22:00,20.6,N,83.006,W,0
9/28/2010,13:23:59,20.605,N,83.004,W,0
9/28/2010,13:26:00,20.609,N,83.003,W,0
9/28/2010,13:27:59,20.614,N,83.001,W,0
9/28/2010,13:30:00,20.619,N,83,W,0
9/28/2010,13:32:00,20.623,N,82.998,W,0
9/28/2010,13:33:59,20.628,N,82.997,W,0
9/28/2010,13:36:00,20.632,N,82.995,W,0
9/28/2010,13:37:59,20.637,N,82.994,W,0
9/28/2010,13:40:00,20.642,N,82.992,W,0
9/28/2010,13:41:59,20.646,N,82.991,W,0
9/28/2010,13:44:00,20.651,N,82.99,W,0
9/28/2010,13:45:59,20.655,N,82.988,W,0
9/28/2010,13:48:00,20.66,N,82.987,W,0
9/28/2010,13:49:59,20.665,N,82.985,W,0
9/28/2010,13:52:00,20.669,N,82.984,W,0
9/28/2010,13:53:59,20.674,N,82.982,W,0
9/28/2010,13:56:00,20.679,N,82.981,W,0
9/28/2010,13:57:59,20.683,N,82.98,W,0
9/28/2010,14:00:00,20.688,N,82.978,W,0
9/28/2010,14:02:00,20.693,N,82.977,W,0
9/28/2010,14:03:59,20.698,N,82.975,W,0
9/28/2010,14:06:00,20.702,N,82.974,W,0
9/28/2010,14:07:59,20.707,N,82.973,W,0
9/28/2010,14:10:00,20.712,N,82.971,W,0
9/28/2010,14:11:59,20.716,N,82.97,W,0
9/28/2010,14:14:00,20.721,N,82.969,W,0
9/28/2010,14:15:59,20.726,N,82.967,W,0
9/28/2010,14:18:00,20.731,N,82.966,W,0
9/28/2010,14:19:59,20.735,N,82.964,W,0
9/28/2010,14:22:00,20.74,N,82.963,W,0
9/28/2010,14:23:59,20.745,N,82.962,W,0
9/28/2010,14:26:00,20.75,N,82.96,W,0
9/28/2010,14:27:59,20.754,N,82.959,W,0
9/28/2010,14:30:00,20.759,N,82.958,W,0
9/28/2010,14:32:00,20.764,N,82.956,W,0
9/28/2010,14:33:59,20.769,N,82.955,W,0
9/28/2010,14:36:00,20.773,N,82.954,W,0
9/28/2010,14:37:59,20.778,N,82.952,W,0
9/28/2010,14:40:00,20.783,N,82.951,W,0
9/28/2010,14:41:59,20.788,N,82.95,W,0
9/28/2010,14:44:00,20.793,N,82.948,W,0
9/28/2010,14:45:59,20.797,N,82.947,W,0
9/28/2010,14:48:00,20.802,N,82.946,W,0
9/28/2010,14:49:59,20.807,N,82.945,W,0
9/28/2010,14:52:00,20.812,N,82.943,W,0
9/28/2010,14:53:59,20.817,N,82.942,W,0
9/28/2010,14:56:00,20.821,N,82.941,W,0
9/28/2010,14:57:59,20.826,N,82.939,W,0
9/28/2010,15:00:00,20.831,N,82.938,W,0
9/28/2010,15:02:00,20.836,N,82.937,W,0
9/28/2010,15:03:59,20.841,N,82.936,W,0
9/28/2010,15:06:00,20.846,N,82.934,W,0
9/28/2010,15:07:59,20.851,N,82.933,W,0
9/28/2010,15:10:00,20.855,N,82.932,W,0
9/28/2010,15:11:59,20.86,N,82.93,W,0
9/28/2010,15:14:00,20.865,N,82.929,W,0
9/28/2010,15:15:59,20.87,N,82.928,W,0
9/28/2010,15:18:00,20.875,N,82.927,W,0
9/28/2010,15:19:59,20.88,N,82.925,W,0
9/28/2010,15:22:00,20.885,N,82.924,W,0
9/28/2010,15:23:59,20.889,N,82.923,W,0
9/28/2010,15:26:00,20.894,N,82.922,W,0
9/28/2010,15:27:59,20.899,N,82.92,W,0
9/28/2010,15:30:00,20.904,N,82.919,W,0
9/28/2010,15:32:00,20.909,N,82.918,W,0
9/28/2010,15:33:59,20.914,N,82.917,W,0
9/28/2010,15:36:00,20.919,N,82.916,W,0
9/28/2010,15:37:59,20.924,N,82.914,W,0
9/28/2010,15:40:00,20.929,N,82.913,W,0
9/28/2010,15:41:59,20.934,N,82.912,W,0
9/28/2010,15:44:00,20.939,N,82.911,W,0
9/28/2010,15:45:59,20.944,N,82.909,W,0
9/28/2010,15:48:00,20.948,N,82.908,W,0
9/28/2010,15:49:59,20.953,N,82.907,W,0
9/28/2010,15:52:00,20.958,N,82.906,W,0
9/28/2010,15:53:59,20.963,N,82.905,W,0
9/28/2010,15:56:00,20.968,N,82.903,W,0
9/28/2010,15:57:59,20.973,N,82.902,W,0
9/28/2010,16:00:00,20.978,N,82.901,W,0
9/28/2010,16:01:59,20.983,N,82.9,W,0
9/28/2010,16:04:00,20.988,N,82.899,W,0
9/28/2010,16:06:00,20.993,N,82.898,W,0
9/28/2010,16:07:59,20.998,N,82.896,W,0
9/28/2010,16:09:59,21.003,N,82.895,W,0
9/28/2010,16:12:00,21.008,N,82.894,W,0
9/28/2010,16:14:00,21.013,N,82.893,W,0
9/28/2010,16:15:59,21.018,N,82.892,W,0
9/28/2010,16:17:59,21.023,N,82.89,W,0
9/28/2010,16:20:00,21.028,N,82.889,W,0
9/28/2010,16:22:00,21.033,N,82.888,W,0
9/28/2010,16:23:59,21.038,N,82.887,W,0
9/28/2010,16:25:59,21.043,N,82.886,W,0
9/28/2010,16:28:00,21.048,N,82.885,W,0
9/28/2010,16:30:00,21.053,N,82.883,W,0
9/28/2010,16:31:59,21.058,N,82.882,W,0
9/28/2010,16:34:00,21.063,N,82.881,W,0
9/28/2010,16:36:00,21.068,N,82.88,W,0
9/28/2010,16:37:59,21.073,N,82.879,W,0
9/28/2010,16:39:59,21.078,N,82.878,W,0
9/28/2010,16:42:00,21.083,N,82.877,W,0
9/28/2010,16:44:00,21.088,N,82.875,W,0
9/28/2010,16:45:59,21.093,N,82.874,W,0
9/28/2010,16:47:59,21.098,N,82.873,W,0
9/28/2010,16:50:00,21.103,N,82.872,W,0
9/28/2010,16:52:00,21.108,N,82.871,W,0
9/28/2010,16:53:59,21.113,N,82.87,W,0
9/28/2010,16:55:59,21.118,N,82.869,W,0
9/28/2010,16:58:00,21.123,N,82.868,W,0
9/28/2010,17:00:00,21.128,N,82.866,W,0
9/28/2010,17:01:59,21.133,N,82.865,W,0
