Track for Colin                2010
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/06/2010 03:22:31     26.707 N     66.389 W
08/06/2010 03:24:31     26.713 N     66.390 W
08/06/2010 03:26:30     26.718 N     66.391 W
08/06/2010 03:28:30     26.724 N     66.392 W
08/06/2010 03:30:31     26.729 N     66.393 W
08/06/2010 03:32:31     26.734 N     66.394 W
08/06/2010 03:34:30     26.740 N     66.395 W
08/06/2010 03:36:31     26.745 N     66.396 W
08/06/2010 03:38:31     26.750 N     66.397 W
08/06/2010 03:40:30     26.755 N     66.398 W
08/06/2010 03:42:30     26.760 N     66.399 W
08/06/2010 03:44:31     26.765 N     66.400 W
08/06/2010 03:46:31     26.770 N     66.401 W
08/06/2010 03:48:30     26.775 N     66.402 W
08/06/2010 03:50:30     26.780 N     66.403 W
08/06/2010 03:52:31     26.785 N     66.404 W
08/06/2010 03:54:31     26.790 N     66.404 W
08/06/2010 03:56:30     26.795 N     66.405 W
08/06/2010 03:58:30     26.799 N     66.406 W
08/06/2010 04:00:31     26.804 N     66.407 W
08/06/2010 04:02:31     26.809 N     66.408 W
08/06/2010 04:04:30     26.813 N     66.409 W
08/06/2010 04:06:31     26.818 N     66.409 W
08/06/2010 04:08:31     26.822 N     66.410 W
08/06/2010 04:10:30     26.827 N     66.411 W
08/06/2010 04:12:30     26.831 N     66.411 W
08/06/2010 04:14:31     26.835 N     66.412 W
08/06/2010 04:16:31     26.840 N     66.413 W
08/06/2010 04:18:30     26.844 N     66.414 W
08/06/2010 04:20:30     26.848 N     66.414 W
08/06/2010 04:22:31     26.852 N     66.415 W
08/06/2010 04:24:31     26.856 N     66.415 W
08/06/2010 04:26:30     26.860 N     66.416 W
08/06/2010 04:28:30     26.864 N     66.417 W
08/06/2010 04:30:31     26.868 N     66.417 W
08/06/2010 04:32:31     26.872 N     66.418 W
08/06/2010 04:34:30     26.876 N     66.418 W
08/06/2010 04:36:31     26.880 N     66.419 W
08/06/2010 04:38:31     26.884 N     66.419 W
08/06/2010 04:40:30     26.888 N     66.420 W
08/06/2010 04:42:30     26.892 N     66.421 W
08/06/2010 04:44:31     26.895 N     66.421 W
08/06/2010 04:46:31     26.899 N     66.421 W
08/06/2010 04:48:30     26.902 N     66.422 W
08/06/2010 04:50:30     26.906 N     66.422 W
08/06/2010 04:52:31     26.910 N     66.423 W
08/06/2010 04:54:31     26.913 N     66.423 W
08/06/2010 04:56:30     26.917 N     66.424 W
08/06/2010 04:58:30     26.920 N     66.424 W
08/06/2010 05:00:31     26.923 N     66.424 W
08/06/2010 05:02:31     26.927 N     66.425 W
08/06/2010 05:04:30     26.930 N     66.425 W
08/06/2010 05:06:31     26.933 N     66.426 W
08/06/2010 05:08:31     26.937 N     66.426 W
08/06/2010 05:10:30     26.940 N     66.426 W
08/06/2010 05:12:30     26.943 N     66.427 W
08/06/2010 05:14:31     26.946 N     66.427 W
08/06/2010 05:16:31     26.949 N     66.427 W
08/06/2010 05:18:30     26.952 N     66.427 W
08/06/2010 05:20:30     26.955 N     66.428 W
08/06/2010 05:22:31     26.958 N     66.428 W
08/06/2010 05:24:31     26.961 N     66.428 W
08/06/2010 05:26:30     26.964 N     66.428 W
08/06/2010 05:28:30     26.967 N     66.429 W
08/06/2010 05:30:31     26.970 N     66.429 W
08/06/2010 05:32:31     26.973 N     66.429 W
08/06/2010 05:34:30     26.975 N     66.429 W
08/06/2010 05:36:31     26.978 N     66.430 W
08/06/2010 05:38:31     26.981 N     66.430 W
08/06/2010 05:40:30     26.984 N     66.430 W
08/06/2010 05:42:30     26.986 N     66.430 W
08/06/2010 05:44:31     26.989 N     66.430 W
08/06/2010 05:46:31     26.992 N     66.430 W
08/06/2010 05:48:30     26.994 N     66.431 W
08/06/2010 05:50:30     26.997 N     66.431 W
08/06/2010 05:52:31     26.999 N     66.431 W
08/06/2010 05:54:31     27.002 N     66.431 W
08/06/2010 05:56:30     27.004 N     66.431 W
08/06/2010 05:58:30     27.006 N     66.431 W
08/06/2010 06:00:31     27.009 N     66.431 W
08/06/2010 06:02:31     27.011 N     66.431 W
08/06/2010 06:04:30     27.014 N     66.431 W
08/06/2010 06:06:31     27.016 N     66.431 W
08/06/2010 06:08:31     27.018 N     66.431 W
08/06/2010 06:10:30     27.020 N     66.432 W
08/06/2010 06:12:30     27.023 N     66.432 W
