Track,for,Larry,2003,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/30/2003,13:06:19,21.286,N,92.198,W
9/30/2003,13:08:20,21.285,N,92.201,W
9/30/2003,13:10:19,21.285,N,92.204,W
9/30/2003,13:12:20,21.285,N,92.207,W
9/30/2003,13:14:19,21.284,N,92.21,W
9/30/2003,13:16:20,21.284,N,92.213,W
9/30/2003,13:18:19,21.283,N,92.216,W
9/30/2003,13:20:20,21.283,N,92.218,W
9/30/2003,13:22:19,21.283,N,92.221,W
9/30/2003,13:24:20,21.282,N,92.224,W
9/30/2003,13:26:19,21.282,N,92.227,W
9/30/2003,13:28:20,21.281,N,92.23,W
9/30/2003,13:30:19,21.281,N,92.233,W
9/30/2003,13:32:20,21.281,N,92.235,W
9/30/2003,13:34:19,21.28,N,92.238,W
9/30/2003,13:36:19,21.28,N,92.241,W
9/30/2003,13:38:20,21.28,N,92.244,W
9/30/2003,13:40:19,21.279,N,92.247,W
9/30/2003,13:42:20,21.279,N,92.249,W
9/30/2003,13:44:19,21.279,N,92.252,W
9/30/2003,13:46:20,21.278,N,92.255,W
9/30/2003,13:48:19,21.278,N,92.258,W
9/30/2003,13:50:20,21.277,N,92.261,W
9/30/2003,13:52:19,21.277,N,92.263,W
9/30/2003,13:54:20,21.277,N,92.266,W
9/30/2003,13:56:19,21.276,N,92.269,W
9/30/2003,13:58:20,21.276,N,92.272,W
9/30/2003,14:00:19,21.276,N,92.274,W
9/30/2003,14:02:20,21.275,N,92.277,W
9/30/2003,14:04:19,21.275,N,92.28,W
9/30/2003,14:06:19,21.275,N,92.282,W
9/30/2003,14:08:20,21.274,N,92.285,W
9/30/2003,14:10:19,21.274,N,92.288,W
9/30/2003,14:12:20,21.274,N,92.291,W
9/30/2003,14:14:19,21.273,N,92.293,W
9/30/2003,14:16:20,21.273,N,92.296,W
9/30/2003,14:18:19,21.273,N,92.299,W
9/30/2003,14:20:20,21.272,N,92.301,W
9/30/2003,14:22:19,21.272,N,92.304,W
9/30/2003,14:24:20,21.272,N,92.307,W
9/30/2003,14:26:19,21.271,N,92.309,W
9/30/2003,14:28:20,21.271,N,92.312,W
9/30/2003,14:30:19,21.271,N,92.315,W
9/30/2003,14:32:20,21.27,N,92.317,W
