Track,for,Gustav,2002,,,
9/8/2002,19:17:46,30.25,N,71.245,W,2
9/8/2002,19:19:46,30.253,N,71.249,W,2
9/8/2002,19:21:45,30.255,N,71.253,W,2
9/8/2002,19:23:45,30.258,N,71.257,W,2
9/8/2002,19:25:46,30.26,N,71.261,W,2
9/8/2002,19:27:46,30.263,N,71.265,W,2
9/8/2002,19:29:45,30.265,N,71.269,W,2
9/8/2002,19:31:45,30.268,N,71.273,W,2
9/8/2002,19:33:46,30.27,N,71.278,W,2
9/8/2002,19:35:46,30.272,N,71.283,W,2
9/8/2002,19:37:45,30.274,N,71.287,W,2
9/8/2002,19:39:45,30.277,N,71.292,W,2
9/8/2002,19:41:46,30.279,N,71.297,W,2
9/8/2002,19:43:46,30.281,N,71.302,W,2
9/8/2002,19:45:45,30.283,N,71.308,W,2
9/8/2002,19:47:46,30.285,N,71.313,W,2
9/8/2002,19:49:46,30.287,N,71.319,W,2
9/8/2002,19:51:45,30.288,N,71.325,W,2
9/8/2002,19:53:45,30.29,N,71.33,W,2
9/8/2002,19:55:46,30.292,N,71.336,W,2
9/8/2002,19:57:46,30.293,N,71.343,W,2
9/8/2002,19:59:45,30.295,N,71.349,W,2
9/8/2002,20:01:45,30.297,N,71.355,W,2
9/8/2002,20:03:46,30.298,N,71.362,W,2
9/8/2002,20:05:46,30.299,N,71.369,W,2
9/8/2002,20:07:45,30.301,N,71.376,W,2
9/8/2002,20:09:45,30.302,N,71.383,W,2
9/8/2002,20:11:46,30.303,N,71.39,W,2
9/8/2002,20:13:46,30.304,N,71.397,W,2
9/8/2002,20:15:45,30.305,N,71.405,W,2
9/8/2002,20:17:46,30.306,N,71.413,W,2
9/8/2002,20:19:46,30.307,N,71.421,W,2
9/8/2002,20:21:45,30.308,N,71.429,W,2
9/8/2002,20:23:45,30.309,N,71.437,W,2
9/8/2002,20:25:46,30.309,N,71.445,W,2
9/8/2002,20:27:46,30.31,N,71.454,W,2
9/8/2002,20:29:45,30.31,N,71.463,W,2
9/8/2002,20:31:45,30.311,N,71.472,W,2
9/8/2002,20:33:46,30.311,N,71.481,W,2
9/8/2002,20:35:46,30.311,N,71.49,W,2
9/8/2002,20:37:45,30.312,N,71.5,W,2
9/8/2002,20:39:45,30.312,N,71.509,W,2
9/8/2002,20:41:46,30.312,N,71.519,W,2
9/8/2002,20:43:46,30.312,N,71.529,W,2
9/8/2002,20:45:45,30.312,N,71.54,W,2
9/8/2002,20:47:46,30.311,N,71.55,W,2
9/8/2002,20:49:46,30.311,N,71.561,W,2
9/8/2002,20:51:45,30.311,N,71.572,W,2
9/8/2002,20:53:45,30.31,N,71.583,W,2
9/8/2002,20:55:46,30.31,N,71.594,W,2
9/8/2002,20:57:46,30.309,N,71.606,W,2
9/8/2002,20:59:45,30.308,N,71.618,W,2
9/8/2002,21:01:45,30.307,N,71.63,W,2
9/8/2002,21:03:46,30.307,N,71.642,W,2
9/8/2002,21:05:46,30.305,N,71.654,W,2
9/8/2002,21:07:45,30.304,N,71.667,W,2
9/8/2002,21:09:45,30.303,N,71.68,W,2
9/8/2002,21:11:46,30.302,N,71.693,W,2
9/8/2002,21:13:46,30.301,N,71.706,W,2
9/8/2002,21:14:31,30.3,N,71.711,W,2
9/8/2002,21:16:31,30.301,N,71.719,W,2
9/8/2002,21:18:30,30.302,N,71.727,W,2
9/8/2002,21:20:30,30.302,N,71.735,W,2
9/8/2002,21:22:31,30.303,N,71.743,W,2
9/8/2002,21:24:31,30.304,N,71.751,W,2
9/8/2002,21:26:30,30.305,N,71.759,W,2
9/8/2002,21:28:30,30.306,N,71.767,W,2
9/8/2002,21:30:31,30.307,N,71.775,W,2
9/8/2002,21:32:31,30.308,N,71.784,W,2
9/8/2002,21:34:30,30.308,N,71.791,W,2
9/8/2002,21:36:31,30.309,N,71.799,W,2
9/8/2002,21:38:31,30.31,N,71.807,W,2
9/8/2002,21:40:30,30.311,N,71.815,W,2
9/8/2002,21:42:30,30.312,N,71.823,W,2
9/8/2002,21:44:31,30.313,N,71.831,W,2
9/8/2002,21:46:31,30.314,N,71.839,W,2
9/8/2002,21:48:30,30.315,N,71.847,W,2
9/8/2002,21:50:30,30.316,N,71.855,W,2
9/8/2002,21:52:31,30.317,N,71.863,W,2
9/8/2002,21:54:31,30.318,N,71.87,W,2
9/8/2002,21:56:30,30.319,N,71.878,W,2
9/8/2002,21:58:30,30.32,N,71.886,W,2
9/8/2002,22:00:31,30.321,N,71.894,W,2
9/8/2002,22:02:31,30.322,N,71.901,W,2
9/8/2002,22:04:30,30.323,N,71.909,W,2
9/8/2002,22:06:31,30.324,N,71.917,W,2
9/8/2002,22:08:31,30.325,N,71.924,W,2
9/8/2002,22:10:30,30.326,N,71.932,W,2
9/8/2002,22:12:30,30.327,N,71.94,W,2
9/8/2002,22:14:31,30.328,N,71.947,W,2
9/8/2002,22:16:31,30.329,N,71.955,W,2
9/8/2002,22:18:30,30.33,N,71.963,W,2
9/8/2002,22:20:30,30.331,N,71.97,W,2
9/8/2002,22:22:31,30.332,N,71.978,W,2
9/8/2002,22:24:31,30.333,N,71.985,W,2
9/8/2002,22:26:30,30.334,N,71.993,W,2
9/8/2002,22:28:30,30.336,N,72,W,2
9/8/2002,22:30:31,30.337,N,72.007,W,2
9/8/2002,22:32:31,30.338,N,72.015,W,2
9/8/2002,22:34:30,30.339,N,72.022,W,2
9/8/2002,22:36:31,30.34,N,72.03,W,2
9/8/2002,22:38:31,30.341,N,72.037,W,2
9/8/2002,22:40:30,30.343,N,72.044,W,2
9/8/2002,22:42:30,30.344,N,72.052,W,2
9/8/2002,22:44:31,30.345,N,72.059,W,2
9/8/2002,22:46:31,30.346,N,72.066,W,2
9/8/2002,22:48:30,30.348,N,72.073,W,2
9/8/2002,22:50:30,30.349,N,72.08,W,2
9/8/2002,22:52:31,30.35,N,72.088,W,2
9/8/2002,22:54:31,30.351,N,72.095,W,2
9/8/2002,22:56:30,30.353,N,72.102,W,2
9/8/2002,22:58:30,30.354,N,72.109,W,2
9/8/2002,23:00:31,30.355,N,72.116,W,2
9/8/2002,23:02:31,30.357,N,72.123,W,2
9/8/2002,23:04:30,30.358,N,72.13,W,2
9/8/2002,23:06:31,30.359,N,72.137,W,2
9/8/2002,23:08:31,30.361,N,72.144,W,2
9/8/2002,23:10:30,30.362,N,72.151,W,2
9/8/2002,23:12:30,30.364,N,72.158,W,2
9/8/2002,23:14:31,30.365,N,72.165,W,2
9/8/2002,23:16:31,30.366,N,72.172,W,2
9/8/2002,23:18:30,30.368,N,72.178,W,2
9/8/2002,23:20:30,30.369,N,72.185,W,2
9/8/2002,23:22:31,30.371,N,72.192,W,2
9/8/2002,23:24:31,30.372,N,72.199,W,2
9/8/2002,23:26:30,30.374,N,72.205,W,2
9/8/2002,23:28:30,30.375,N,72.212,W,2
9/8/2002,23:30:31,30.377,N,72.219,W,2
9/8/2002,23:32:31,30.378,N,72.225,W,2
9/8/2002,23:34:30,30.38,N,72.232,W,2
9/8/2002,23:36:31,30.382,N,72.238,W,2
9/8/2002,23:38:31,30.383,N,72.245,W,2
9/8/2002,23:40:30,30.385,N,72.251,W,2
9/8/2002,23:42:30,30.386,N,72.258,W,2
9/8/2002,23:44:31,30.388,N,72.264,W,2
9/8/2002,23:46:31,30.39,N,72.27,W,2
9/8/2002,23:48:30,30.391,N,72.277,W,2
9/8/2002,23:50:30,30.393,N,72.283,W,2
9/8/2002,23:52:31,30.395,N,72.289,W,2
9/8/2002,23:54:31,30.397,N,72.296,W,2
9/8/2002,23:56:30,30.398,N,72.302,W,2
9/8/2002,23:58:30,30.4,N,72.308,W,2
9/9/2002,0:00:31,30.402,N,72.314,W,2
9/9/2002,0:02:31,30.404,N,72.32,W,2
9/9/2002,0:04:30,30.406,N,72.326,W,2
9/9/2002,0:06:31,30.407,N,72.332,W,2
9/9/2002,0:08:31,30.409,N,72.338,W,2
9/9/2002,0:10:30,30.411,N,72.344,W,2
9/9/2002,0:12:30,30.413,N,72.35,W,2
9/9/2002,0:14:31,30.415,N,72.356,W,2
9/9/2002,0:16:31,30.417,N,72.362,W,2
9/9/2002,0:18:30,30.419,N,72.368,W,2
9/9/2002,0:20:30,30.421,N,72.374,W,2
9/9/2002,0:22:31,30.423,N,72.379,W,2
9/9/2002,0:24:31,30.425,N,72.385,W,2
9/9/2002,0:26:30,30.427,N,72.391,W,2
9/9/2002,0:28:30,30.429,N,72.396,W,2
9/9/2002,0:30:31,30.431,N,72.402,W,2
9/9/2002,0:32:31,30.433,N,72.407,W,2
9/9/2002,0:34:30,30.435,N,72.413,W,2
9/9/2002,0:36:31,30.437,N,72.418,W,2
9/9/2002,0:38:31,30.439,N,72.424,W,2
9/9/2002,0:40:30,30.441,N,72.429,W,2
9/9/2002,0:42:30,30.443,N,72.435,W,2
9/9/2002,0:44:31,30.446,N,72.44,W,2
9/9/2002,0:46:31,30.448,N,72.445,W,2
9/9/2002,0:48:30,30.45,N,72.45,W,2
9/9/2002,0:50:30,30.452,N,72.456,W,2
9/9/2002,0:52:31,30.454,N,72.461,W,2
9/9/2002,0:54:31,30.457,N,72.466,W,2
9/9/2002,0:56:30,30.459,N,72.471,W,2
9/9/2002,0:58:30,30.461,N,72.476,W,2
9/9/2002,1:00:31,30.464,N,72.481,W,2
9/9/2002,1:02:31,30.466,N,72.486,W,2
9/9/2002,1:04:30,30.468,N,72.491,W,2
9/9/2002,1:06:31,30.471,N,72.496,W,2
9/9/2002,1:08:31,30.473,N,72.501,W,2
9/9/2002,1:10:30,30.476,N,72.505,W,2
9/9/2002,1:12:30,30.478,N,72.51,W,2
9/9/2002,1:14:31,30.481,N,72.515,W,2
9/9/2002,1:16:31,30.483,N,72.519,W,2
9/9/2002,1:18:30,30.486,N,72.524,W,2
9/9/2002,1:20:30,30.488,N,72.529,W,2
9/9/2002,1:22:31,30.491,N,72.533,W,2
9/9/2002,1:24:31,30.493,N,72.537,W,2
9/9/2002,1:26:30,30.496,N,72.542,W,2
9/9/2002,1:28:30,30.499,N,72.546,W,2
9/9/2002,1:30:31,30.501,N,72.551,W,2
9/9/2002,1:32:31,30.504,N,72.555,W,2
9/9/2002,1:34:30,30.507,N,72.559,W,2
9/9/2002,1:36:31,30.509,N,72.563,W,2
9/9/2002,1:38:31,30.512,N,72.567,W,2
9/9/2002,1:40:30,30.515,N,72.572,W,2
9/9/2002,1:42:30,30.518,N,72.576,W,2
9/9/2002,1:44:31,30.521,N,72.58,W,2
9/9/2002,1:46:31,30.523,N,72.584,W,2
9/9/2002,1:48:30,30.526,N,72.587,W,2
9/9/2002,1:50:30,30.529,N,72.591,W,2
9/9/2002,1:52:31,30.532,N,72.595,W,2
9/9/2002,1:54:31,30.535,N,72.599,W,2
9/9/2002,1:56:30,30.538,N,72.603,W,2
9/9/2002,1:58:30,30.541,N,72.606,W,2
9/9/2002,2:00:31,30.544,N,72.61,W,2
9/9/2002,2:02:31,30.547,N,72.614,W,2
9/9/2002,2:04:30,30.55,N,72.617,W,2
9/9/2002,2:06:31,30.553,N,72.621,W,2
9/9/2002,2:08:31,30.556,N,72.624,W,2
9/9/2002,2:10:30,30.559,N,72.628,W,2
9/9/2002,2:12:30,30.562,N,72.631,W,2
9/9/2002,2:14:31,30.566,N,72.634,W,2
9/9/2002,2:16:31,30.569,N,72.638,W,2
9/9/2002,2:18:30,30.572,N,72.641,W,2
9/9/2002,2:20:30,30.575,N,72.644,W,2
9/9/2002,2:22:31,30.578,N,72.647,W,2
9/9/2002,2:24:31,30.582,N,72.65,W,2
9/9/2002,2:26:30,30.585,N,72.653,W,2
9/9/2002,2:28:30,30.588,N,72.657,W,2
9/9/2002,2:30:31,30.591,N,72.66,W,2
9/9/2002,2:32:31,30.595,N,72.663,W,2
9/9/2002,2:34:30,30.598,N,72.666,W,2
9/9/2002,2:36:31,30.601,N,72.668,W,2
9/9/2002,2:38:31,30.605,N,72.671,W,2
9/9/2002,2:40:30,30.608,N,72.674,W,2
9/9/2002,2:42:30,30.612,N,72.677,W,2
9/9/2002,2:44:31,30.615,N,72.68,W,2
9/9/2002,2:46:31,30.619,N,72.683,W,2
9/9/2002,2:48:30,30.622,N,72.685,W,2
9/9/2002,2:50:30,30.625,N,72.688,W,2
9/9/2002,2:52:31,30.629,N,72.691,W,2
9/9/2002,2:54:31,30.633,N,72.693,W,2
9/9/2002,2:56:30,30.636,N,72.696,W,2
9/9/2002,2:58:30,30.64,N,72.698,W,2
9/9/2002,3:00:31,30.643,N,72.701,W,2
9/9/2002,3:02:31,30.647,N,72.703,W,2
9/9/2002,3:04:30,30.65,N,72.706,W,2
9/9/2002,3:06:31,30.654,N,72.708,W,2
9/9/2002,3:08:31,30.658,N,72.711,W,2
9/9/2002,3:10:30,30.661,N,72.713,W,2
9/9/2002,3:12:30,30.665,N,72.715,W,2
9/9/2002,3:14:31,30.669,N,72.718,W,2
9/9/2002,3:16:31,30.672,N,72.72,W,2
9/9/2002,3:18:30,30.676,N,72.722,W,2
9/9/2002,3:20:30,30.68,N,72.724,W,2
9/9/2002,3:22:31,30.683,N,72.727,W,2
9/9/2002,3:24:31,30.687,N,72.729,W,2
9/9/2002,3:26:30,30.691,N,72.731,W,2
9/9/2002,3:28:30,30.695,N,72.733,W,2
9/9/2002,3:30:31,30.698,N,72.735,W,2
9/9/2002,3:32:31,30.702,N,72.737,W,2
9/9/2002,3:34:30,30.706,N,72.739,W,2
9/9/2002,3:36:31,30.71,N,72.742,W,2
9/9/2002,3:38:31,30.714,N,72.744,W,2
9/9/2002,3:40:30,30.718,N,72.746,W,2
9/9/2002,3:42:30,30.721,N,72.748,W,2
9/9/2002,3:44:31,30.725,N,72.749,W,2
9/9/2002,3:46:31,30.729,N,72.751,W,2
9/9/2002,3:48:30,30.733,N,72.753,W,2
9/9/2002,3:50:30,30.737,N,72.755,W,2
9/9/2002,3:52:31,30.741,N,72.757,W,2
9/9/2002,3:54:31,30.745,N,72.759,W,2
9/9/2002,3:56:30,30.749,N,72.761,W,2
9/9/2002,3:58:30,30.753,N,72.763,W,2
9/9/2002,4:00:31,30.757,N,72.764,W,2
9/9/2002,4:02:31,30.761,N,72.766,W,2
9/9/2002,4:04:30,30.765,N,72.768,W,2
9/9/2002,4:06:31,30.769,N,72.77,W,2
9/9/2002,4:08:31,30.773,N,72.772,W,2
9/9/2002,4:10:30,30.777,N,72.773,W,2
9/9/2002,4:12:30,30.781,N,72.775,W,2
9/9/2002,4:14:31,30.785,N,72.777,W,2
9/9/2002,4:16:31,30.789,N,72.778,W,2
9/9/2002,4:18:30,30.793,N,72.78,W,2
9/9/2002,4:20:30,30.797,N,72.782,W,2
9/9/2002,4:22:31,30.801,N,72.783,W,2
9/9/2002,4:24:31,30.805,N,72.785,W,2
9/9/2002,4:26:30,30.809,N,72.787,W,2
9/9/2002,4:28:30,30.813,N,72.788,W,2
9/9/2002,4:30:31,30.818,N,72.79,W,2
9/9/2002,4:32:31,30.822,N,72.791,W,2
9/9/2002,4:34:30,30.826,N,72.793,W,2
9/9/2002,4:36:31,30.83,N,72.794,W,2
9/9/2002,4:38:31,30.834,N,72.796,W,2
9/9/2002,4:40:30,30.838,N,72.798,W,2
9/9/2002,4:42:30,30.842,N,72.799,W,2
9/9/2002,4:44:31,30.847,N,72.801,W,2
9/9/2002,4:46:31,30.851,N,72.802,W,2
9/9/2002,4:48:30,30.855,N,72.804,W,2
9/9/2002,4:50:30,30.859,N,72.805,W,2
9/9/2002,4:52:31,30.863,N,72.807,W,2
9/9/2002,4:54:31,30.867,N,72.808,W,2
9/9/2002,4:56:30,30.872,N,72.81,W,2
9/9/2002,4:58:30,30.876,N,72.811,W,2
9/9/2002,5:00:31,30.88,N,72.813,W,2
9/9/2002,5:02:31,30.884,N,72.814,W,2
9/9/2002,5:04:30,30.888,N,72.816,W,2
9/9/2002,5:06:31,30.893,N,72.817,W,2
9/9/2002,5:08:31,30.897,N,72.818,W,2
9/9/2002,5:10:30,30.901,N,72.82,W,2
9/9/2002,5:12:30,30.905,N,72.821,W,2
9/9/2002,5:14:31,30.91,N,72.823,W,2
9/9/2002,5:16:31,30.914,N,72.824,W,2
9/9/2002,5:18:30,30.918,N,72.826,W,2
9/9/2002,5:20:30,30.922,N,72.827,W,2
9/9/2002,5:22:31,30.927,N,72.829,W,2
9/9/2002,5:24:31,30.931,N,72.83,W,2
9/9/2002,5:26:30,30.935,N,72.832,W,2
9/9/2002,5:28:30,30.939,N,72.833,W,2
9/9/2002,5:30:31,30.944,N,72.835,W,2
9/9/2002,5:32:31,30.948,N,72.836,W,2
9/9/2002,5:34:30,30.952,N,72.838,W,2
9/9/2002,5:36:31,30.957,N,72.839,W,2
9/9/2002,5:38:31,30.961,N,72.84,W,2
9/9/2002,5:40:30,30.965,N,72.842,W,2
9/9/2002,5:42:30,30.969,N,72.843,W,2
9/9/2002,5:44:31,30.974,N,72.845,W,2
9/9/2002,5:46:31,30.978,N,72.846,W,2
9/9/2002,5:48:30,30.982,N,72.848,W,2
9/9/2002,5:50:30,30.987,N,72.849,W,2
9/9/2002,5:52:31,30.991,N,72.851,W,2
9/9/2002,5:54:31,30.995,N,72.852,W,2
9/9/2002,5:56:30,30.999,N,72.854,W,2
9/9/2002,5:58:30,31.004,N,72.856,W,2
9/9/2002,6:00:31,31.008,N,72.857,W,2
9/9/2002,6:02:31,31.012,N,72.859,W,2
9/9/2002,6:04:30,31.017,N,72.86,W,2
9/9/2002,6:06:31,31.021,N,72.862,W,2
9/9/2002,6:08:31,31.025,N,72.863,W,2
9/9/2002,6:10:30,31.029,N,72.865,W,2
9/9/2002,6:12:30,31.034,N,72.867,W,2
9/9/2002,6:14:31,31.038,N,72.868,W,2
9/9/2002,6:16:31,31.042,N,72.87,W,2
9/9/2002,6:18:30,31.047,N,72.872,W,2
9/9/2002,6:20:30,31.051,N,72.873,W,2
9/9/2002,6:22:31,31.055,N,72.875,W,2
9/9/2002,6:24:31,31.059,N,72.877,W,2
9/9/2002,6:26:30,31.064,N,72.878,W,2
9/9/2002,6:28:30,31.068,N,72.88,W,2
9/9/2002,6:30:31,31.072,N,72.882,W,2
9/9/2002,6:32:31,31.076,N,72.883,W,2
9/9/2002,6:34:30,31.081,N,72.885,W,2
9/9/2002,6:36:31,31.085,N,72.887,W,2
9/9/2002,6:38:31,31.089,N,72.889,W,2
9/9/2002,6:40:30,31.093,N,72.891,W,2
9/9/2002,6:42:30,31.098,N,72.892,W,2
9/9/2002,6:44:31,31.102,N,72.894,W,2
9/9/2002,6:46:31,31.106,N,72.896,W,2
9/9/2002,6:48:30,31.11,N,72.898,W,2
9/9/2002,6:50:30,31.115,N,72.9,W,2
9/9/2002,6:52:31,31.119,N,72.902,W,2
9/9/2002,6:54:31,31.123,N,72.904,W,2
9/9/2002,6:56:30,31.127,N,72.906,W,2
9/9/2002,6:58:30,31.132,N,72.908,W,2
9/9/2002,7:00:31,31.136,N,72.91,W,2
9/9/2002,7:02:31,31.14,N,72.912,W,2
9/9/2002,7:04:30,31.144,N,72.914,W,2
9/9/2002,7:06:31,31.148,N,72.916,W,2
9/9/2002,7:08:31,31.152,N,72.918,W,2
9/9/2002,7:10:30,31.157,N,72.92,W,2
9/9/2002,7:12:30,31.161,N,72.922,W,2
9/9/2002,7:14:31,31.165,N,72.925,W,2
9/9/2002,7:16:31,31.169,N,72.927,W,2
9/9/2002,7:18:30,31.173,N,72.929,W,2
9/9/2002,7:20:30,31.177,N,72.931,W,2
9/9/2002,7:22:31,31.182,N,72.934,W,2
9/9/2002,7:24:31,31.186,N,72.936,W,2
9/9/2002,7:26:30,31.19,N,72.938,W,2
9/9/2002,7:28:30,31.194,N,72.941,W,2
9/9/2002,7:30:31,31.198,N,72.943,W,2
9/9/2002,7:32:31,31.202,N,72.945,W,2
9/9/2002,7:34:30,31.206,N,72.948,W,2
9/9/2002,7:36:31,31.21,N,72.95,W,2
9/9/2002,7:38:31,31.214,N,72.953,W,2
9/9/2002,7:40:30,31.218,N,72.955,W,2
9/9/2002,7:42:30,31.222,N,72.958,W,2
9/9/2002,7:44:31,31.226,N,72.96,W,2
9/9/2002,7:46:31,31.23,N,72.963,W,2
9/9/2002,7:48:30,31.234,N,72.966,W,2
9/9/2002,7:50:30,31.238,N,72.968,W,2
9/9/2002,7:52:31,31.242,N,72.971,W,2
9/9/2002,7:54:31,31.246,N,72.974,W,2
9/9/2002,7:56:30,31.25,N,72.977,W,2
9/9/2002,7:58:30,31.254,N,72.98,W,2
9/9/2002,8:00:30,31.258,N,72.982,W,2
9/9/2002,8:02:30,31.262,N,72.985,W,2
9/9/2002,8:04:31,31.266,N,72.988,W,2
9/9/2002,8:06:31,31.27,N,72.991,W,2
9/9/2002,8:08:31,31.274,N,72.994,W,2
9/9/2002,8:10:30,31.278,N,72.997,W,2
9/9/2002,8:12:30,31.282,N,73,W,2
9/9/2002,8:14:30,31.286,N,73.004,W,2
9/9/2002,8:16:30,31.29,N,73.007,W,2
9/9/2002,8:18:31,31.293,N,73.01,W,2
9/9/2002,8:20:31,31.297,N,73.013,W,2
9/9/2002,8:22:31,31.301,N,73.016,W,2
9/9/2002,8:24:31,31.305,N,73.02,W,2
9/9/2002,8:26:30,31.309,N,73.023,W,2
9/9/2002,8:28:30,31.313,N,73.026,W,2
9/9/2002,8:30:30,31.316,N,73.03,W,2
9/9/2002,8:32:30,31.32,N,73.033,W,2
9/9/2002,8:34:31,31.324,N,73.036,W,2
9/9/2002,8:36:31,31.328,N,73.04,W,2
9/9/2002,8:38:31,31.332,N,73.043,W,2
9/9/2002,8:40:30,31.335,N,73.047,W,2
9/9/2002,8:42:30,31.339,N,73.05,W,2
9/9/2002,8:44:30,31.343,N,73.054,W,2
9/9/2002,8:46:30,31.346,N,73.058,W,2
9/9/2002,8:48:31,31.35,N,73.061,W,2
9/9/2002,8:50:31,31.354,N,73.065,W,2
9/9/2002,8:52:31,31.358,N,73.069,W,2
9/9/2002,8:54:31,31.361,N,73.072,W,2
9/9/2002,8:56:30,31.365,N,73.076,W,2
9/9/2002,8:58:30,31.369,N,73.08,W,2
9/9/2002,9:00:30,31.372,N,73.084,W,2
9/9/2002,9:02:30,31.376,N,73.087,W,2
9/9/2002,9:04:31,31.38,N,73.091,W,2
9/9/2002,9:06:31,31.383,N,73.095,W,2
9/9/2002,9:08:31,31.387,N,73.099,W,2
9/9/2002,9:10:30,31.39,N,73.103,W,2
9/9/2002,9:12:30,31.394,N,73.107,W,2
9/9/2002,9:14:30,31.398,N,73.111,W,2
9/9/2002,9:16:30,31.401,N,73.115,W,2
9/9/2002,9:18:31,31.405,N,73.119,W,2
9/9/2002,9:20:31,31.408,N,73.123,W,2
9/9/2002,9:22:31,31.412,N,73.127,W,2
9/9/2002,9:24:31,31.416,N,73.131,W,2
9/9/2002,9:26:30,31.419,N,73.136,W,2
9/9/2002,9:28:30,31.423,N,73.14,W,2
9/9/2002,9:30:30,31.426,N,73.144,W,2
9/9/2002,9:32:30,31.43,N,73.148,W,2
9/9/2002,9:34:31,31.433,N,73.153,W,2
9/9/2002,9:36:31,31.437,N,73.157,W,2
9/9/2002,9:38:31,31.44,N,73.161,W,2
9/9/2002,9:40:30,31.444,N,73.166,W,2
9/9/2002,9:42:30,31.447,N,73.17,W,2
9/9/2002,9:44:30,31.451,N,73.174,W,2
9/9/2002,9:46:30,31.454,N,73.179,W,2
9/9/2002,9:48:31,31.458,N,73.183,W,2
9/9/2002,9:50:31,31.461,N,73.188,W,2
9/9/2002,9:52:31,31.465,N,73.192,W,2
9/9/2002,9:54:31,31.468,N,73.197,W,2
9/9/2002,9:56:30,31.471,N,73.201,W,2
9/9/2002,9:58:30,31.475,N,73.206,W,2
9/9/2002,10:00:30,31.478,N,73.21,W,2
9/9/2002,10:02:30,31.482,N,73.215,W,2
9/9/2002,10:04:31,31.485,N,73.22,W,2
9/9/2002,10:06:31,31.489,N,73.224,W,2
9/9/2002,10:08:31,31.492,N,73.229,W,2
9/9/2002,10:10:30,31.495,N,73.234,W,2
9/9/2002,10:12:30,31.499,N,73.238,W,2
9/9/2002,10:14:30,31.502,N,73.243,W,2
9/9/2002,10:16:30,31.505,N,73.248,W,2
9/9/2002,10:18:31,31.509,N,73.253,W,2
9/9/2002,10:20:31,31.512,N,73.257,W,2
9/9/2002,10:22:31,31.515,N,73.262,W,2
9/9/2002,10:24:31,31.519,N,73.267,W,2
9/9/2002,10:26:30,31.522,N,73.272,W,2
9/9/2002,10:28:30,31.525,N,73.277,W,2
9/9/2002,10:30:30,31.529,N,73.282,W,2
9/9/2002,10:32:30,31.532,N,73.287,W,2
