Track,for,Omar,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/13/2008,11:22:00,15.227,N,69.555,W
10/13/2008,11:23:59,15.226,N,69.557,W
10/13/2008,11:26:00,15.224,N,69.56,W
10/13/2008,11:27:59,15.223,N,69.562,W
10/13/2008,11:30:00,15.221,N,69.565,W
10/13/2008,11:32:00,15.22,N,69.567,W
10/13/2008,11:33:59,15.219,N,69.57,W
10/13/2008,11:36:00,15.217,N,69.572,W
10/13/2008,11:37:59,15.216,N,69.574,W
10/13/2008,11:40:00,15.214,N,69.577,W
10/13/2008,11:41:59,15.213,N,69.579,W
10/13/2008,11:44:00,15.212,N,69.582,W
10/13/2008,11:45:59,15.21,N,69.584,W
10/13/2008,11:48:00,15.209,N,69.586,W
10/13/2008,11:49:59,15.207,N,69.589,W
10/13/2008,11:52:00,15.206,N,69.591,W
10/13/2008,11:53:59,15.204,N,69.593,W
10/13/2008,11:56:00,15.203,N,69.596,W
10/13/2008,11:57:59,15.201,N,69.598,W
10/13/2008,12:00:00,15.2,N,69.6,W
10/13/2008,12:02:00,15.199,N,69.602,W
10/13/2008,12:03:59,15.197,N,69.604,W
10/13/2008,12:06:00,15.196,N,69.607,W
10/13/2008,12:07:59,15.194,N,69.609,W
10/13/2008,12:10:00,15.193,N,69.611,W
10/13/2008,12:11:59,15.191,N,69.613,W
10/13/2008,12:14:00,15.19,N,69.615,W
10/13/2008,12:15:59,15.188,N,69.617,W
10/13/2008,12:18:00,15.186,N,69.619,W
10/13/2008,12:19:59,15.185,N,69.621,W
10/13/2008,12:22:00,15.183,N,69.623,W
10/13/2008,12:23:59,15.182,N,69.625,W
10/13/2008,12:26:00,15.18,N,69.627,W
10/13/2008,12:27:59,15.179,N,69.629,W
10/13/2008,12:30:00,15.177,N,69.631,W
10/13/2008,12:32:00,15.176,N,69.633,W
10/13/2008,12:33:59,15.174,N,69.635,W
10/13/2008,12:36:00,15.172,N,69.637,W
10/13/2008,12:37:59,15.171,N,69.639,W
10/13/2008,12:40:00,15.169,N,69.641,W
10/13/2008,12:41:59,15.168,N,69.642,W
10/13/2008,12:44:00,15.166,N,69.644,W
10/13/2008,12:45:59,15.164,N,69.646,W
10/13/2008,12:48:00,15.163,N,69.648,W
10/13/2008,12:49:59,15.161,N,69.649,W
10/13/2008,12:52:00,15.16,N,69.651,W
10/13/2008,12:53:59,15.158,N,69.653,W
10/13/2008,12:56:00,15.156,N,69.655,W
10/13/2008,12:57:59,15.155,N,69.656,W
10/13/2008,13:00:00,15.153,N,69.658,W
10/13/2008,13:02:00,15.151,N,69.659,W
10/13/2008,13:03:59,15.15,N,69.661,W
10/13/2008,13:06:00,15.148,N,69.663,W
10/13/2008,13:07:59,15.146,N,69.664,W
10/13/2008,13:10:00,15.144,N,69.666,W
10/13/2008,13:11:59,15.143,N,69.667,W
10/13/2008,13:14:00,15.141,N,69.669,W
10/13/2008,13:15:59,15.139,N,69.67,W
10/13/2008,13:18:00,15.138,N,69.671,W
10/13/2008,13:19:59,15.136,N,69.673,W
10/13/2008,13:22:00,15.134,N,69.674,W
