Track,for,Gabrielle,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/13/2001,4:16:42,24.924,N,85.624,W,1
9/13/2001,4:18:41,24.923,N,85.615,W,1
9/13/2001,4:20:41,24.921,N,85.605,W,1
9/13/2001,4:22:42,24.919,N,85.596,W,1
9/13/2001,4:24:42,24.917,N,85.586,W,1
9/13/2001,4:26:41,24.916,N,85.576,W,1
9/13/2001,4:28:41,24.914,N,85.566,W,1
9/13/2001,4:30:42,24.912,N,85.556,W,1
9/13/2001,4:32:42,24.911,N,85.546,W,1
9/13/2001,4:34:41,24.909,N,85.536,W,1
9/13/2001,4:36:41,24.907,N,85.525,W,1
9/13/2001,4:38:42,24.906,N,85.515,W,1
9/13/2001,4:40:41,24.904,N,85.505,W,1
9/13/2001,4:42:41,24.902,N,85.494,W,1
9/13/2001,4:44:42,24.901,N,85.483,W,1
9/13/2001,4:46:42,24.899,N,85.473,W,1
9/13/2001,4:48:41,24.898,N,85.462,W,1
9/13/2001,4:50:41,24.896,N,85.451,W,1
9/13/2001,4:52:42,24.895,N,85.44,W,1
9/13/2001,4:54:42,24.893,N,85.429,W,1
9/13/2001,4:56:41,24.891,N,85.418,W,1
9/13/2001,4:58:41,24.89,N,85.407,W,1
9/13/2001,5:00:42,24.888,N,85.396,W,1
9/13/2001,5:02:42,24.887,N,85.385,W,1
9/13/2001,5:04:41,24.885,N,85.373,W,1
9/13/2001,5:06:41,24.884,N,85.362,W,1
9/13/2001,5:08:42,24.882,N,85.351,W,1
9/13/2001,5:10:41,24.881,N,85.339,W,1
9/13/2001,5:12:41,24.88,N,85.328,W,1
9/13/2001,5:14:42,24.878,N,85.316,W,1
9/13/2001,5:16:42,24.877,N,85.305,W,1
9/13/2001,5:18:41,24.875,N,85.293,W,1
9/13/2001,5:20:41,24.874,N,85.281,W,1
9/13/2001,5:22:42,24.873,N,85.27,W,1
9/13/2001,5:24:42,24.871,N,85.258,W,1
9/13/2001,5:26:41,24.87,N,85.246,W,1
9/13/2001,5:28:41,24.869,N,85.235,W,1
9/13/2001,5:30:42,24.867,N,85.223,W,1
9/13/2001,5:32:42,24.866,N,85.211,W,1
9/13/2001,5:34:41,24.865,N,85.199,W,1
9/13/2001,5:36:41,24.863,N,85.188,W,1
9/13/2001,5:38:42,24.862,N,85.176,W,1
9/13/2001,5:40:41,24.861,N,85.164,W,1
9/13/2001,5:42:41,24.86,N,85.152,W,1
9/13/2001,5:44:42,24.859,N,85.14,W,1
9/13/2001,5:46:42,24.857,N,85.128,W,1
9/13/2001,5:48:41,24.856,N,85.117,W,1
9/13/2001,5:50:41,24.855,N,85.105,W,1
9/13/2001,5:52:42,24.854,N,85.093,W,1
9/13/2001,5:54:42,24.853,N,85.081,W,1
9/13/2001,5:56:41,24.852,N,85.069,W,1
9/13/2001,5:58:41,24.851,N,85.058,W,1
9/13/2001,6:00:00,24.85,N,85.05,W,1
9/13/2001,6:01:59,24.849,N,85.046,W,1
9/13/2001,6:04:00,24.849,N,85.041,W,1
9/13/2001,6:06:00,24.848,N,85.037,W,1
9/13/2001,6:07:59,24.848,N,85.033,W,1
9/13/2001,6:09:59,24.848,N,85.028,W,1
9/13/2001,6:12:00,24.847,N,85.024,W,1
