Track,for,Danielle,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/27/2010,5:35:59,26.163,N,58.234,W,4
8/27/2010,5:37:59,26.166,N,58.24,W,4
8/27/2010,5:39:59,26.169,N,58.245,W,4
8/27/2010,5:41:59,26.172,N,58.251,W,4
8/27/2010,5:43:59,26.175,N,58.256,W,4
8/27/2010,5:46:00,26.178,N,58.262,W,4
8/27/2010,5:48:00,26.181,N,58.267,W,4
8/27/2010,5:50:00,26.185,N,58.273,W,4
8/27/2010,5:52:00,26.188,N,58.278,W,4
8/27/2010,5:54:00,26.191,N,58.284,W,4
8/27/2010,5:56:00,26.194,N,58.289,W,4
8/27/2010,5:58:00,26.197,N,58.295,W,4
8/27/2010,6:00:00,26.2,N,58.3,W,4
8/27/2010,6:01:59,26.203,N,58.305,W,4
8/27/2010,6:03:59,26.206,N,58.311,W,4
8/27/2010,6:05:59,26.209,N,58.316,W,4
8/27/2010,6:07:59,26.212,N,58.322,W,4
8/27/2010,6:09:59,26.215,N,58.327,W,4
8/27/2010,6:11:59,26.218,N,58.333,W,4
8/27/2010,6:13:59,26.221,N,58.338,W,4
8/27/2010,6:16:00,26.224,N,58.344,W,4
8/27/2010,6:18:00,26.227,N,58.349,W,4
8/27/2010,6:20:00,26.23,N,58.354,W,4
8/27/2010,6:22:00,26.234,N,58.36,W,4
8/27/2010,6:24:00,26.237,N,58.365,W,4
8/27/2010,6:26:00,26.24,N,58.371,W,4
8/27/2010,6:28:00,26.243,N,58.376,W,4
8/27/2010,6:30:00,26.246,N,58.382,W,4
8/27/2010,6:31:59,26.249,N,58.387,W,4
8/27/2010,6:33:59,26.252,N,58.392,W,4
8/27/2010,6:35:59,26.255,N,58.398,W,4
8/27/2010,6:37:59,26.258,N,58.403,W,4
8/27/2010,6:39:59,26.26,N,58.409,W,4
8/27/2010,6:41:59,26.263,N,58.414,W,4
8/27/2010,6:43:59,26.266,N,58.419,W,4
8/27/2010,6:46:00,26.269,N,58.425,W,4
8/27/2010,6:48:00,26.272,N,58.43,W,4
8/27/2010,6:50:00,26.275,N,58.436,W,4
8/27/2010,6:52:00,26.278,N,58.441,W,4
8/27/2010,6:54:00,26.281,N,58.446,W,4
8/27/2010,6:56:00,26.284,N,58.452,W,4
8/27/2010,6:58:00,26.287,N,58.457,W,4
8/27/2010,7:00:00,26.29,N,58.463,W,4
