x,y,z
-469.44,102.028076,124.1146
-469.44,105.95225,123.7183
-469.44,109.87642,121.8895
-469.44,113.80058,121.0056
-469.44,117.72471,119.5426
-469.44,121.648926,119.8474
-469.44,125.573044,121.1885
-469.44,129.49716,121.0056
-469.44,133.42139,121.9505
-469.44,137.3455,122.5906
-469.44,141.26962,122.9868
-469.44,145.19385,123.230606
-469.44,149.11797,122.620995
-469.44,153.04219,121.249405
-469.44,156.96631,117.9576
-469.44,160.89043,116.555504
-469.44,164.81465,113.477005
-469.44,168.73877,112.1664
-469.44,172.66289,111.0386
-469.44,176.58711,109.5756
-469.44,180.51123,110.459496
-469.44,184.43535,111.3739
-469.44,188.35957,108.0516
-469.44,192.28369,105.9485
-469.44,196.20792,104.119705
-469.44,200.13203,103.2053
-469.44,204.05615,105.91801
-469.44,207.98038,107.7773
-469.44,211.9045,111.3739
-469.44,215.82861,114.2086
-469.44,219.75284,115.48869
-469.44,223.67696,113.90379
-469.44,227.60117,110.3376
-469.44,231.5253,107.7773
-469.44,235.44942,105.6132
-469.44,239.37363,101.955605
-469.44,243.29776,101.0412
-469.44,247.22188,101.6813
-469.44,251.14609,101.9861
-469.44,255.07022,101.8032
-469.44,258.99445,101.0717
-469.44,262.91855,101.7118
-469.44,266.84268,104.8512
-469.44,270.7669,106.923805
-469.44,274.691,108.8441
-469.44,278.61514,111.8311
-469.44,282.53937,113.8123
-469.44,286.46347,114.879105
-469.44,290.3877,118.3843
-469.44,294.31183,119.2682
-469.44,298.23593,119.573
-469.44,302.16016,120.27409
-469.44,306.0843,120.9446
-469.44,310.0084,121.158
-469.44,313.93262,120.9142
-469.44,317.85675,120.487404
-469.44,321.78085,120.3655
-469.44,325.70508,120.0302
-469.44,329.6292,119.5121
-469.44,333.5534,118.9939
-469.44,337.47754,118.3234
-469.44,341.40167,117.9271
-469.44,345.32587,117.8052
-469.44,349.25,117.43941
-469.44,353.17413,117.409
-469.44,357.09833,117.012695
-469.44,361.02246,117.1651
-469.44,364.9467,117.43941
-469.44,368.8708,117.9576
-469.44,372.79492,118.3538
-469.44,376.71915,118.4453
-469.44,380.64325,118.6282
-469.44,384.56738,118.0186
-469.44,388.4916,116.9213
-469.44,392.4157,114.8182
-469.44,396.33994,113.263695
-469.44,400.26407,111.953
-469.44,404.18817,111.7397
-469.44,408.1124,109.94139
-469.44,412.03653,109.5756
-469.44,415.96063,109.087906
-469.44,419.88486,108.5698
-469.44,423.809,108.4478
-469.44,427.73322,107.4115
-469.44,431.65732,107.2896
-469.44,435.58145,107.106705
-469.44,439.50568,106.4057
-469.44,443.42978,106.10091
-469.44,447.3539,105.27791
